Thu Mar  9 09:42:40 UTC 2017
Intel(R) Optimized LINPACK Benchmark data

Current date/time: Thu Mar  9 09:42:40 2017

CPU frequency:    2.398 GHz
Number of CPUs: 1
Number of cores: 6
Number of threads: 6

Parameters are set to:

Number of tests: 15
Number of equations to solve (problem size) : 1000  2000  5000  10000 15000 18000 20000 22000 25000 26000 27000 30000 35000 40000 45000
Leading dimension of array                  : 1000  2000  5008  10000 15000 18008 20016 22008 25000 26000 27000 30000 35000 40000 45000
Number of trials to run                     : 4     2     2     2     2     2     2     2     2     2     1     1     1     1     1    
Data alignment value (in Kbytes)            : 4     4     4     4     4     4     4     4     4     4     4     1     1     1     1    

Maximum memory requested that can be used=16200901024, at the size=45000

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   4      0.010      64.9127  9.394430e-13 3.203742e-02   pass
1000   1000   4      0.007      96.2213  9.394430e-13 3.203742e-02   pass
1000   1000   4      0.006      109.5451 9.394430e-13 3.203742e-02   pass
1000   1000   4      0.005      123.8844 9.394430e-13 3.203742e-02   pass
2000   2000   4      0.043      124.4067 4.324485e-12 3.761772e-02   pass
2000   2000   4      0.042      127.0953 4.324485e-12 3.761772e-02   pass
5000   5008   4      0.440      189.3613 2.597364e-11 3.621815e-02   pass
5000   5008   4      0.437      190.6030 2.597364e-11 3.621815e-02   pass
10000  10000  4      3.095      215.4959 9.626175e-11 3.394287e-02   pass
10000  10000  4      3.093      215.5999 9.626175e-11 3.394287e-02   pass
15000  15000  4      10.114     222.5162 2.101177e-10 3.309389e-02   pass
15000  15000  4      10.121     222.3616 2.101177e-10 3.309389e-02   pass
18000  18008  4      17.576     221.2437 2.809489e-10 3.076736e-02   pass
18000  18008  4      17.595     221.0025 2.809489e-10 3.076736e-02   pass
20000  20016  4      24.061     221.6947 3.712793e-10 3.286635e-02   pass
20000  20016  4      24.052     221.7717 3.712793e-10 3.286635e-02   pass
22000  22008  4      32.224     220.3198 4.256701e-10 3.117866e-02   pass
22000  22008  4      32.245     220.1791 4.256701e-10 3.117866e-02   pass
25000  25000  4      46.975     221.7762 5.285331e-10 3.005578e-02   pass
25000  25000  4      46.914     222.0661 5.285331e-10 3.005578e-02   pass
26000  26000  4      52.603     222.7758 6.171686e-10 3.245258e-02   pass
26000  26000  4      52.634     222.6446 6.171686e-10 3.245258e-02   pass
27000  27000  4      59.071     222.1633 6.812411e-10 3.322078e-02   pass
